"type","objectname","size_bytes","path"
"blob","72b3be7350a4fb203b64a7833accc34872eb4f60","172661","Archive/TideDisplay.ino/wave_imgOld.h"
"blob","474fe5cc630ccf7b55173c03d5c13189a31af5dc","153798","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Unicode_test/Final_Frontier_28.h"
"blob","4b1a18ef42068b7adf0f4ad25ca0e775d51d9a91","153796","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Print_Smooth_Font/Final_Frontier_28.h"
"blob","b45e623649bc505d8408300a8c8852d6a3f91973","152106","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Tools/Create_Smooth_Font/Create_font/FontFiles/Final-Frontier28.h"
"blob","16353bd42983cfe6890500fe1942f9ee1b664a9e","143518","Archive/Images/FullSun.png"
"blob","10633312abc2f8ce24d8aa953651eea6d45f7536","138373","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/docs/ESP32 UNO board mod/ESP32 UNO board mod.jpg"
"blob","7aa29e9dfe8b83d3afc84b1c359d4d91788cbd85","133852","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/PNG Images/Flash_transparent_PNG/SpongeBob.h"
"blob","3b10b7664c68b0ff3eff0c80bb4310b74c191a4b","129500","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/docs/ESP32 UNO board mod/ESP32 UNO board pinout.jpg"
"blob","801c50938fe4273da6dd1b90c9d84a9087c6364b","122840","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/480 x 320/TFT_flash_jpg/jpeg1.h"
"blob","5266c3af2c82cf5cbd6eed075097865348aa6589","110606","Archive/TideClock/wave_img.h"
"blob","e026bb00f987d7ec82aaa0a2780b49ec00a3ce83","110147","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Animated_dial/dial.h"
"blob","00902f3c7490375b7f9f597103b7ef13018e7ceb","105000","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/480 x 320/TFT_flash_jpg/jpeg4.h"
"blob","9d58d2193d7b16d020b1599fc97247f8bb099c63","102173","Archive/Images/Fog.png"
"blob","e377c76890fe769081b7ef48e9e674a6dfcd19bd","101436","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/DMA test/boing_ball/graphic.h"
"blob","b59a6a3de61563887ea7ed7a3761572e33e0aeeb","97834","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/480 x 320/TFT_flash_jpg/jpeg3.h"
"blob","73454b6c8064a8fdfefbb12943603a370bed4138","96373","Archive/Images/ThunderStorm.png"
"blob","f54a1cb661ebd5b9cc2a5fa006453873e4e4c0b0","93723","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Font_Demo_3_Array/NotoSansMonoSCB20.h"
"blob","b947597e4dae08090bc1ea9a8800c64b963cd8c4","93530","Archive/Images/Wave.webp"
"blob","af841cc160d021085db8f558ea3cd6df02b16682","81072","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Extensions/Sprite.cpp"
"blob","531cdeb7d67d3c16c5646199a30508bf8816e852","78337","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Sprite_image_4bit/starImage.cpp"
"blob","977b62ad25002188c71e89e67dff7ffc2e9ddb99","77473","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/DMA test/Flash_Jpg_DMA/panda.h"
"blob","b05e99e93ef7985f9a3a6f467b387265f2f7d406","71999","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Graphics/Arc_meter_demo/NotoSans_Bold.h"
"blob","4b85f077186554eb5080ea9f0e1b9f8c14ec469d","69231","Archive/Works6_28/TideDisplayOld/libraries/XPT2046_Touchscreen/doc/ILI9431Test.jpg"
"blob","19da15a0b132285d50453dcf8b53b956bdd8aa91","67189","Archive/Works6_28/TideDisplayOld/libraries/ArduinoJson/extras/tests/MsgPackDeserializer/filter.cpp"
"blob","c356370708566042a27cfe91ca4714327e2bd2e8","65776","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Graphics/Anti-aliased_Clock/NotoSansBold15.h"
"blob","6ffd6912773c076c67ae5180e2160292745ed02a","65761","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Smooth_font_reading_TFT/NotoSansBold15.h"
"blob","90e40ac00375ffb3ecdca3dfb472b2d206adfec6","65759","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Smooth_font_gradient/NotoSansBold15.h"
"blob","aa777b8efbd9ad8fa92c7391ccbdaca072d37166","65732","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Font_Demo_1_Array/NotoSansBold15.h"
"blob","ea65f9b8d210b5d5ee0a0e853b72dc42ac1db60b","63705","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansBoldOblique24pt7b.h"
"blob","a98c4eb2542eb4374c02719d281f96069747df12","61496","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/TFT_SPIFFS_BMP/data/parrot.bmp"
"blob","4c8c8ab024ccc9b79615136c42510cebf4834861","59762","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansOblique24pt7b.h"
"blob","be917671885ae19129e24b4d835799df0c818b09","56838","Archive/Images/Wave.png"
"blob","fcb857ef9f4b2dc5978a6268312469d57f8a2e89","56292","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifBoldItalic24pt7b.h"
"blob","aadc9a1dc45fd0a09fc3f166abb21a3f313cb17c","55627","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansBold24pt7b.h"
"blob","b2f128b4ed054b8c3a488b361f6903e4b557722d","54478","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Unicode_test/data/Latin-Hiragana-24.vlw"
"blob","0eb2d0b1a8100b4c5872c064c40f7ae9e393df44","53806","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifBold24pt7b.h"
"blob","a2bbbdf36f497c98b677522948e1f4d60de371a7","52530","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMonoBoldOblique24pt7b.h"
"blob","75da1e057f8d95d67b65cdce6bc3e566e215990e","52164","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifItalic24pt7b.h"
"blob","73a22cbff5f76d70b23808a7a7b9906b5a3411b1","51786","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_STM32.h"
"blob","ff2d174fbd1ab4ec951c149b94102beea653bdba","51419","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSans24pt7b.h"
"blob","99ff3f4971f97bd3629ffd961c12dd55412868e3","48626","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerif24pt7b.h"
"blob","3a18f0cd57fc8ec887f26f63b177f6beeb7cc9db","47542","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/ePaper/Floyd_Steinberg/data/TestCard.bmp"
"blob","8ae234271c63418a081a0dcc405dedbf9910b059","47498","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/TFT_eSPI.h"
"blob","492074008f4e4c9057af4cbbd9dca4f02d4b6654","47473","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/160 x 128/TFT_flash_jpg/jpeg2.h"
"blob","aa0dcd0451783fceffe23b39a5ad76a307f4af31","47327","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMonoBold24pt7b.h"
"blob","8a5592c29c3ef4010c882dd96759823eaee249db","45214","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMonoOblique24pt7b.h"
"blob","a23a8d2a3c96b7096b8cd7bdc81d9463e247168e","45018","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/160 x 128/TFT_flash_jpg/jpeg3.h"
"blob","f8ac8c4918bd2f7c52ea6c307593f1979cb8f016","44760","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Orrery/astronomy.h"
"blob","66003f6e1c9915e71f571ade912b9eb899323db6","44169","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/LittleFS/Font_Demo_1/data/NotoSansBold36.vlw"
"blob","ef26eb18d6cf4b49bef1ccba605cd79b092eba06","42262","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/ePaper/Floyd_Steinberg/data/Tiger.bmp"
"blob","4c8bd151d6a03e4945164be6d11ebedbb1a388e6","40283","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMono24pt7b.h"
"blob","79c748c785c68ecf362363599c7e7f6bb415e270","37952","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansBoldOblique18pt7b.h"
"blob","c4757564c98f7c46a98dc54f913b83808f2bcb79","36469","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Unicode_test/data/Unicode-Test-72.vlw"
"blob","2a18a3f6aee3f4a1d8468b7610b32f53b33ed71d","35958","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansOblique18pt7b.h"
"blob","7a8119b0533b381dc89c4782dab271d4ce29e647","35799","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/Font32rle.c"
"blob","0e7738d17e422be740ebf74afcd2a35a2ab025ef","35619","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/PNG Images/LittleFS_PNG/data/EagleEye.png"
"blob","8c92b19ef9870f7f44e6bdd6344bce55ce242840","35226","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Animated_dial/NotoSansBold36.h"
"blob","e24eea61fef79d11da36e4cb7cf5a819b00c7d44","34664","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifBoldItalic18pt7b.h"
"blob","399848e40e5586de72564b7434febd45c7146cd1","33409","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/480 x 320/TFT_flash_jpg/jpeg2.h"
"blob","a22dd5c15015c3c38c82c957784520c3bfa4dfc9","33353","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/160 x 128/TFT_flash_jpg/jpeg1.h"
"blob","d5927cde4479a77c5cbc537874a56e57d6b03510","33181","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansBold18pt7b.h"
"blob","d689e72abaddd3a339fdd27950569fa7859f8a07","32983","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_ESP32_S3.c"
"blob","11d3c7ea2de426274945ee7b6c7a76635dc39b49","31768","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifBold18pt7b.h"
"blob","bc4f20ea59885b7b81cfe87056fbaa910a3cf7dc","31692","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMonoBoldOblique18pt7b.h"
"blob","49500a73d3bd9bf7eaf871db500ccb6dbb32e952","31250","TideDisplay/TideDisplay.ino"
"blob","3fdc5911ef467cb2e4f7549143cb5d27943fd00b","31039","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSans18pt7b.h"
"blob","8c97a5fec805ffd94910f9965fe74b4bc7e377f6","30981","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_ESP32_C3.c"
"blob","666ae7eb27c1e3845833a301a701e90d42b63191","30914","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifItalic18pt7b.h"
"blob","faf30343aef45ece42ab26c61bcc679d2322f1db","30731","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_ESP32.c"
"blob","7d19dd1839032e449971de564ee488fae706c7e3","29360","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerif18pt7b.h"
"blob","0aeb1e5d282b3ffdfe94ece3a2063c978cf92086","29324","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/Custom/Yellowtail_32.h"
"blob","9a2495927c875e705fc39da1bc3997f5cbf38412","29181","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/Font16.c"
"blob","36e0be05d7b4a41071ec24001aa26a5e5d40085d","28925","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMonoBold18pt7b.h"
"blob","5cf3c6be958f3dbc02a52a4c978ff619d5d2d829","28904","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/Custom/Orbitron_Light_32.h"
"blob","a74dcbc245868e3a8f049a6a33cb231d7be4c949","28674","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_STM32.c"
"blob","1979e7203d07779ceb7015d1fb2c1e96106e1f03","27096","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMonoOblique18pt7b.h"
